price,installment,title,location,bedroom,bathroom,garage,land_area,building_area
"Rp 4,5 Miliar Total",Rp 23 Jutaan (Tenor 20 Tahun),Ruko 2 Lantai Strategis Siap Pakai Di Danau Sunter,Jakarta Utara,,3,2,90 m²,150 m²
Rp 5 Miliar Total,Rp 25 Jutaan (Tenor 20 Tahun),Dijual Gudang 420m2 Di Kawasan Gudang Bandara Mas,Tangerang,,1,3,450 m²,420 m²
"Rp 5,5 Miliar Total",Rp 28 Jutaan (Tenor 20 Tahun),Super Miring!!Ruko Ikon 260 M2 Di Tanah Abang,Jakarta Pusat,,2,4,45 m²,260 m²
"Rp 1,6 Miliar Total",Rp 8 Jutaan (Tenor 20 Tahun),Dijual Ruko Sentra Onderdil Bsd 2 Lt Blok A,Tangerang,,2,,54 m²,90 m²
Rp 22 Miliar Total,Rp 113 Jutaan (Tenor 20 Tahun),Ruko Gandeng Badan 5 Lt Di MOI Strategis Bisnis,Jakarta Utara,,4,6,150 m²,600 m²
Rp 6 Miliar Total,Rp 30 Jutaan (Tenor 20 Tahun),Termurah!!Ruko Icon Hoek 260 M2 Siap Pakai Di Tanah Abang,Jakarta Pusat,,2,4,56 m²,260 m²
Rp 80 Miliar Total,Rp 411 Jutaan (Tenor 20 Tahun),Turun Harga! Dijual Showroom Aktif Besar Di Cirendeu Raya,Tangerang Selatan,,5,25,6658 m²,2000 m²
Rp 25 Miliar Total,Rp 128 Jutaan (Tenor 20 Tahun),"Dijual Brand New Home Office Multifungsi 3,5 Lt Di Raden Inten",Jakarta Timur,,8,8,600 m²,1600 m²
Rp 21 Juta /m²,Rp 110 Ribuan (Tenor 20 Tahun),Termurah! Jual Rugi Bawah Njop Di Bellagio Mall Mega Kuningan,Jakarta Selatan,,1,6,359 m²,359 m²
Rp 57 Miliar Total,Rp 293 Jutaan (Tenor 20 Tahun),Turun Harga!Pabrik&Gudang Lb 3900m2 Siap Pakai Di Cileungsi,Bogor,,6,20,9705 m²,3910 m²
"Rp 5,2 Miliar Total",Rp 26 Jutaan (Tenor 20 Tahun),Dijual Ruko FrenchWalk MOI 7x13m2 Siap Pakai,Jakarta Utara,,2,2,91 m²,180 m²
"Rp 13,5 Juta /m²",Rp 70 Ribuan (Tenor 20 Tahun),Turun Harga! Bengkel Lt 1270m2 Body Repair Di Pekayon Bekasi,Bekasi,,4,15,1270 m²,450 m²
"Rp 12,7 Miliar Total",Rp 65 Jutaan (Tenor 20 Tahun),Turun Harga!Gudang Bagus 15x60m2 Kawasan Gudang Bandara Mas!,Tangerang,,2,4,900 m²,840 m²
"Rp 3,5 Miliar Total",Rp 18 Jutaan (Tenor 20 Tahun),Dijual Kos Aktif 17 Kamar Penuh Roi Tinggi Di Ciputat,Tangerang Selatan,,17,8,200 m²,390 m²
"Rp 1,42 Miliar Total",Rp 7 Jutaan (Tenor 20 Tahun),Dijual Ruko 2 Lt Baru Di Lakrasamana Depok,Depok,,2,4,84 m²,85 m²
"Rp 18,5 Miliar Total",Rp 95 Jutaan (Tenor 20 Tahun),Ruko Hoek Gandeng Badan 5 Lt Ex Karaoke Di Gading Bukit Indah,Jakarta Utara,,23,10,222 m²,1000 m²
"Rp 4,5 Miliar Total",Rp 23 Jutaan (Tenor 20 Tahun),Ruko 2 Lantai Strategis Siap Pakai Di Danau Sunter,Jakarta Utara,,3,2,90 m²,150 m²
Rp 5 Miliar Total,Rp 25 Jutaan (Tenor 20 Tahun),Dijual Gudang 420m2 Di Kawasan Gudang Bandara Mas,Tangerang,,1,3,450 m²,420 m²
"Rp 5,5 Miliar Total",Rp 28 Jutaan (Tenor 20 Tahun),Super Miring!!Ruko Ikon 260 M2 Di Tanah Abang,Jakarta Pusat,,2,4,45 m²,260 m²
"Rp 1,6 Miliar Total",Rp 8 Jutaan (Tenor 20 Tahun),Dijual Ruko Sentra Onderdil Bsd 2 Lt Blok A,Tangerang,,2,,54 m²,90 m²
Rp 22 Miliar Total,Rp 113 Jutaan (Tenor 20 Tahun),Ruko Gandeng Badan 5 Lt Di MOI Strategis Bisnis,Jakarta Utara,,4,6,150 m²,600 m²
Rp 6 Miliar Total,Rp 30 Jutaan (Tenor 20 Tahun),Termurah!!Ruko Icon Hoek 260 M2 Siap Pakai Di Tanah Abang,Jakarta Pusat,,2,4,56 m²,260 m²
Rp 80 Miliar Total,Rp 411 Jutaan (Tenor 20 Tahun),Turun Harga! Dijual Showroom Aktif Besar Di Cirendeu Raya,Tangerang Selatan,,5,25,6658 m²,2000 m²
Rp 25 Miliar Total,Rp 128 Jutaan (Tenor 20 Tahun),"Dijual Brand New Home Office Multifungsi 3,5 Lt Di Raden Inten",Jakarta Timur,,8,8,600 m²,1600 m²
Rp 21 Juta /m²,Rp 110 Ribuan (Tenor 20 Tahun),Termurah! Jual Rugi Bawah Njop Di Bellagio Mall Mega Kuningan,Jakarta Selatan,,1,6,359 m²,359 m²
Rp 57 Miliar Total,Rp 293 Jutaan (Tenor 20 Tahun),Turun Harga!Pabrik&Gudang Lb 3900m2 Siap Pakai Di Cileungsi,Bogor,,6,20,9705 m²,3910 m²
"Rp 5,2 Miliar Total",Rp 26 Jutaan (Tenor 20 Tahun),Dijual Ruko FrenchWalk MOI 7x13m2 Siap Pakai,Jakarta Utara,,2,2,91 m²,180 m²
"Rp 13,5 Juta /m²",Rp 70 Ribuan (Tenor 20 Tahun),Turun Harga! Bengkel Lt 1270m2 Body Repair Di Pekayon Bekasi,Bekasi,,4,15,1270 m²,450 m²
